pH,Fat,Lactose,Protein,Gravity,SNF,Temperature,Gas,EC,Class
6.70,6.59,4.75,3.91,28.04,8.49,15.28,203,2.57,Pure
6.62,8.01,5.42,3.91,29.99,8.08,26.64,210.31,2.99,Pure
6.84,6.45,5.30,3.63,28.46,8.12,21.68,191.19,2.82,Pure
6.88,6.20,4.86,3.69,28.58,8.21,24.13,193.05,2.56,Pure
6.73,8.13,4.98,3.81,28.36,8.21,18.5,206.47,2.71,Pure
6.49,6.79,5.38,3.53,28.77,8.83,21.53,203.99,2.98,Pure
6.45,7.65,4.80,3.82,28.11,8.58,16.87,198.21,3.19,Pure
6.69,7.21,4.62,3.86,29.92,8.06,24.39,197.59,3.36,Pure
6.65,5.99,5.06,3.91,29.14,8.26,15.84,209.53,3.03,Pure
6.84,6.91,5.35,3.74,29.38,8.88,15.46,195.28,3.00,Pure
6.82,5.80,5.33,3.78,29.86,8.50,24.31,200.11,3.40,Pure
6.80,6.61,4.76,3.95,28.95,8.67,26.03,192.8,3.48,Pure
6.68,6.51,5.40,3.86,29.75,8.07,17.35,207.05,2.68,Pure
6.55,6.31,5.40,3.73,28.17,8.69,22.98,205.36,3.24,Pure
6.41,6.31,5.25,3.60,29.55,8.02,21.42,206.93,3.22,Pure
6.63,5.81,4.80,3.82,29.62,8.37,17.71,198.71,2.97,Pure
6.67,7.56,4.95,3.77,28.76,8.79,22.69,203.71,2.77,Pure
6.56,6.97,4.75,3.68,29.15,8.76,23.49,201.15,2.67,Pure
6.41,6.44,5.07,3.57,29.26,8.98,25.56,209.61,3.40,Pure
6.44,7.86,5.21,3.87,29.89,8.03,26.08,209.07,2.94,Pure
6.75,8.31,5.38,3.56,29.01,8.73,27.77,199.62,3.26,Pure
6.77,7.73,5.30,3.72,28.13,8.53,24.06,208.58,3.07,Pure
6.64,6.12,5.06,3.96,28.24,8.78,16.25,200.77,3.46,Pure
6.43,6.28,5.45,3.63,28.82,8.94,20.3,193.75,3.28,Pure
6.58,6.43,4.97,3.93,29.01,8.49,26.39,209.49,3.16,Pure
6.75,6.62,4.59,3.57,29.34,8.23,27.11,197.47,2.56,Pure
6.40,6.07,5.29,3.53,29.70,8.65,25.73,202.47,2.56,Pure
6.70,7.52,5.46,3.98,29.68,8.82,22.28,201.1,3.47,Pure
6.87,6.66,5.35,3.81,28.01,8.67,23.23,211.18,3.08,Pure
6.79,8.27,5.47,3.55,28.00,8.29,22.21,195.94,3.27,Pure
6.53,8.08,4.92,3.98,29.55,8.97,20.18,199.41,3.44,Pure
6.66,6.34,5.41,3.75,28.95,8.08,17.61,202.14,3.34,Pure
6.56,6.83,4.99,3.78,28.94,8.00,19.07,205.73,2.58,Pure
6.56,6.70,5.17,3.74,28.59,8.55,23.77,196.11,3.08,Pure
6.68,8.19,5.05,3.79,28.33,8.42,19.36,202.1,2.97,Pure
6.84,6.08,5.43,3.89,29.32,8.90,27.67,200.4,3.34,Pure
6.78,7.33,4.88,3.93,29.68,8.09,25.55,203.29,3.18,Pure
6.55,6.53,5.32,3.94,28.33,8.75,20.52,197.55,2.65,Pure
6.51,7.98,4.75,3.62,29.12,8.64,21.12,197.35,3.21,Pure
6.65,6.46,4.77,3.83,29.04,8.60,25.43,194.41,2.74,Pure
6.73,5.71,4.95,3.51,29.76,8.01,19.59,196.89,3.13,Pure
6.41,8.11,5.21,3.82,28.28,8.12,18.81,211.26,3.40,Pure
6.51,7.94,4.66,3.72,29.68,8.23,17.38,206.76,2.81,Pure
6.69,8.14,4.62,3.65,29.82,8.73,26,199,2.81,Pure
6.58,6.89,5.00,3.58,28.73,8.80,26.95,199.33,3.42,Pure
6.42,6.21,5.27,3.87,28.37,8.24,18.72,196.81,3.05,Pure
6.51,5.72,5.40,3.62,28.96,8.08,18.72,197.18,3.01,Pure
6.78,8.15,5.48,3.65,29.97,8.82,25.79,204.7,2.89,Pure
